"PRODUCT_ID","TITLE","DESCRIPTION"
40662,기업간 특허 피인용 통계,해당 상품은 한국특허에서 분석하고자 하는 기업간의 피인용 통계 데이터입니다.
40661,기술분야별 기업간 특허 피인용 통계,"해당 상품은 한국특허에서 디스플레이, 반도체, 에너지, 제약, 통신 기술분야별 권리자의 피인용 통계 데이터입니다."
40660,화장품 분야 특허의 목적과 해결수단 표현 데이터,"해당 상품은 화장품 분야 미국특허에서 주요 세부기술(미백, 항노화, 모발, 항염증/피부개선, 향료)별 트렌드 분석을 위하여 해당 특허의 소재/효능/성분/제형 등의 데이터에 관한 내용입니다."
40659,축제 인파 모니터링 용 실시간 유동인구  ,축제지 주변 (폴리곤 설정) 실시간 유동인구  
40658,[2024-12호] NH트렌드+ 욜로(YOLO)가고 요노(YONO)온다!,NH트렌드+는 NH농협은행의 데이터를 통해 사회 이슈와 트렌드를 알아보는 리포트입니다.
40657,[샘플] 24년 지역 주력산업 특허 데이터 - 광주편,"24년 광주 지역 주력산업별 특허 데이터(서지사항 74개), 특허로 바로가기 및 패밀리정보가 담긴 웹버전 제공"
40656,[RAW DATA] 24년 지역 주력산업 특허 데이터 - 광주편,"24년 광주 지역 주력산업별 특허 데이터(서지사항 74개), 특허로 바로가기 및 패밀리정보가 담긴 웹버전 제공"
40655,[샘플] 2024년 국가첨단전략기술 - 바이오편,"국가첨단전략기술 바이오 특허 데이터(서지사항 72개), 특허로 바로가기 및 패밀리정보가 담긴 웹버전 제공"
40654,[RAW DATA] 2024년 국가첨단전략기술 - 바이오편,"국가첨단전략기술 바이오 특허 데이터(서지사항 72개), 특허로 바로가기 및 패밀리정보가 담긴 웹버전 제공"
40652,국내 의료 입지 분석을 위한 의료 분야 신용 통계 정보,KCB에 등록된 전문직(의료) 사업체 평가 데이터를 기반으로 KCB 자체적으로 추가 분류하여 지역과 진료과별로 구성한 사업자 (추정)매출 통계
40651,KCB 국내 주택시장 및 전세 위험 분석용 가계부채 데이터,"KCB에 등록된 개인신용정보를 활용하여 주택 소유자를 중심으로 부채 상태, 연체 등 신용상태를 파악할 수 있도록 생성된 통계(익명) 데이터
 * 단, 실제 분석에 맞춰 일부 항목에 대한 추가 가공이 필요하므로 이용 시 사전 업무 협의 필수"
40650,[가격협의] 전기차 배터리 데이터,"당사는 전기차 배터리 구독 및 관리 서비스를 통해 실시간 수집한 배터리 운행 데이터, 충방전 및 차량정보, 실제 구축 운영한 ESS데이터 그 외 등 맞춤형 데이터 제공합니다."
40649,부산 경제상황 진단용 월정기 데이터 (2024.07),"부산 경제 상황 진단을 위한 맞춤형 지표 정보(2024.07)
(부산연구원만 이용 가능)"
40648,무안공항 분석 유동인구 데이터,무안공항에 대한 &#39;24년 4월 ~ 24년 6월까지의 유동인구 데이터
40647,[NH농협카드] 12월 세부 업종별 카드 이용건수 트렌드 (2019년 12월 ~ 2023년 12월),"12월의 세부 업종별 카드이용건수 추이를 분석할 수 있는 데이터
"
40646,[NH농협카드] 12월 세부 업종별 카드 이용금액 트렌드 (2019년 12월 ~ 2023년 12월),"12월의 세부 업종별 카드이용금액 추이를 분석할 수 있는 데이터
"
